24559
-24219506809241608/2199023255552 6886285062963193/2199023255552 -6095978364927985/549755813888 1722037043200001/549755813888 
-40440801368473592/4398046511104 6403453983129595/4398046511104 -40580075749376000/4398046511104 6513205497036799/4398046511104 
-2772185382912005/274877906944 1925457746329601/274877906944 -11070720285081604/1099511627776 7662605854310399/1099511627776 
-62003818895769616/8796093022208 -3767319658496003/8796093022208 -124485533433856048/17592186044416 -7884049167155207/17592186044416 
-4744354254028798/549755813888 4510919845478399/549755813888 -2367268113612799/274877906944 2260123149926400/274877906944 
8326585987891211/2199023255552 9975254482944002/2199023255552 8336444280012805/2199023255552 10026529010483210/2199023255552 
-7975540359168003/8796093022208 37880957239296000/8796093022208 -3955516401254399/4398046511104 18988647684505616/4398046511104 
-5790443451187202/1099511627776 7631689639526401/1099511627776 -5840391320371197/1099511627776 7624129825996803/1099511627776 
108052666436812416/8796093022208 7056168216166397/8796093022208 108139156340735840/8796093022208 7106657569996797/8796093022208 
26549196056166332/2199023255552 4862800979558411/2199023255552 26458010209484724/2199023255552 4982728294400001/2199023255552 
22420484259839988/2199023255552 4725502954700805/2199023255552 22408736853196744/2199023255552 4777094991052805/2199023255552 
-6019766602956802/1099511627776 -8838115753984003/1099511627776 -5900823691263999/1099511627776 -8787140699750400/1099511627776 
-6333417914368005/1099511627776 -2433991311359998/1099511627776 -6315040571392001/1099511627776 -2435978782310402/1099511627776 
7023463130726385/549755813888 2186990845952002/549755813888 3508664270847994/274877906944 1089633307852801/274877906944 
5942295291494384/4398046511104 -8996025427558415/4398046511104 5775984427008001/4398046511104 -8674964039270412/4398046511104 
5130071257907200/1099511627776 4271914142924805/1099511627776 5111416252006401/1099511627776 4270439845068802/1099511627776 
6906665186099202/1099511627776 3230805472051199/1099511627776 6943422388633601/1099511627776 3229621000601602/1099511627776 
-6910387211468796/1099511627776 4917916231270405/1099511627776 -6916259237068802/1099511627776 4931115705958403/1099511627776 
-5659743485952003/1099511627776 7533575641497604/1099511627776 -5608616597913595/1099511627776 7531202504294405/1099511627776 
-6695500434636791/2199023255552 17994102708633604/2199023255552 -3154173021388797/1099511627776 8995179017011197/1099511627776 
-13530068051558366/1099511627776 5302125802291197/1099511627776 -3377380458495989/274877906944 1324463475916799/274877906944 
17221550499430406/17592186044416 6494692258611205/17592186044416 17563755374182400/17592186044416 6808435844710391/17592186044416 
-17500453260492834/1099511627776 7797267339673595/1099511627776 -17443917398016048/1099511627776 7795673504153603/1099511627776 
5562522455244793/4398046511104 24622297566412816/4398046511104 2786797708902391/2199023255552 12254629697945596/2199023255552 
419917449291366912/140737488355328 -6968853292646393/140737488355328 104940432470835136/35184372088832 -2905401301401599/35184372088832 
5358734645657603/1099511627776 1247978455039995/1099511627776 10745970425855990/2199023255552 2493221594726409/2199023255552 
33196030400921544/2199023255552 -5012574122803207/2199023255552 33206600047001572/2199023255552 -5185938128895995/2199023255552 
45111702454272016/4398046511104 5902731680153607/4398046511104 5642596751769615/549755813888 745196119654398/549755813888 
3808577349222393/274877906944 1288906158899199/274877906944 7611179492966397/549755813888 2568881176576002/549755813888 
-7023279000780797/1099511627776 5065589286502399/1099511627776 -3498636528844801/549755813888 2529144550195200/549755813888 
707034670851687552/70368744177664 -6712778450534401/70368744177664 1409847066728864512/140737488355328 -6816661713715199/140737488355328 
-6670637019955201/1099511627776 6143136602521598/1099511627776 -6626171525529597/1099511627776 6121634083635201/1099511627776 
0/8796093022208 4877975551999997/8796093022208 -2843778377318401/70368744177664 37539238903807968/70368744177664 
-6749112447795203/17592186044416 23623647205785640/17592186044416 -7063905029324801/17592186044416 23319857122508716/17592186044416 
-16046514556108772/1099511627776 -8514568821145599/1099511627776 -16046514556108772/1099511627776 -8478469285478401/1099511627776 
-7132728524799995/1099511627776 -7249383024230404/1099511627776 -7090249452748803/1099511627776 -7206903952179201/1099511627776 
-19239638191308760/1099511627776 7132038981222405/1099511627776 -9626071125196790/549755813888 3559263305728001/549755813888 
103459353264128128/35184372088832 -5911140420812783/35184372088832 25758730813439968/8796093022208 -1579060769587199/8796093022208 
-10100/1 -9000/1 -10200/1 -9000/1 
88632065838285040/8796093022208 4180660767948801/8796093022208 176948156301311936/17592186044416 8863645643571201/17592186044416 
-11119356595404810/2199023255552 -6673827627008011/2199023255552 -11158717621862398/2199023255552 -6672513551564789/2199023255552 
104638523113472352/8796093022208 8960071014809561/8796093022208 3272462879948787/274877906944 281230023065601/274877906944 
-8043804334489604/1099511627776 -5280794411008003/1099511627776 -8043675988787202/1099511627776 -5272914152652799/1099511627776 
-4883938174566397/549755813888 4408138845388798/549755813888 -9746750478745606/1099511627776 8813137834803203/1099511627776 
7431263984025605/1099511627776 7713774685388800/1099511627776 7435493520179198/1099511627776 7723013898240001/1099511627776 
-6953020214476801/4398046511104 5786005458124811/4398046511104 -6953020214476801/4398046511104 5871848180940818/4398046511104 
4602060813107197/1099511627776 4633079788339198/1099511627776 4585665698201599/1099511627776 4686717806182395/1099511627776 
-7957915893759999/8796093022208 28533115269939180/8796093022208 -7929697455308799/8796093022208 28672916455423980/8796093022208 
-10752995885055998/1099511627776 8266022754713595/1099511627776 -10770831743385606/1099511627776 8258724665753603/1099511627776 
7597387782553595/1099511627776 2452199833600004/1099511627776 7610588096102400/1099511627776 2454323200000001/1099511627776 
-3609574821068801/549755813888 3233241104384001/549755813888 -7203457073152001/1099511627776 6495305046425603/1099511627776 
-17767222738944042/1099511627776 7340955585740799/1099511627776 -1111414328524803/68719476736 461144431001600/68719476736 
-8216835312844803/1099511627776 4287579448934402/1099511627776 -16441076088831998/2199023255552 8586910498815995/2199023255552 
5870169620479999/1099511627776 5154752220364796/1099511627776 5852373608038399/1099511627776 5160684224512003/1099511627776 
-7278255774105583/549755813888 3069231444787202/549755813888 -14559415684300854/1099511627776 6131748228300803/1099511627776 
5594561485209605/2199023255552 10541658328268802/2199023255552 5576258381414399/2199023255552 10520404112179190/2199023255552 
4918678755737593/4398046511104 401527511449600/4398046511104 80518886037913792/70368744177664 6524709214617601/70368744177664 
-33962437115903980/4398046511104 7849665101824021/4398046511104 -2131229461708799/274877906944 493381274828801/274877906944 
5184611051110399/4398046511104 24268048328294396/4398046511104 315808940031999/274877906944 1517478320537599/274877906944 
5355073857126400/1099511627776 4611973631180799/1099511627776 5372869869568000/1099511627776 4609007838822403/1099511627776 
-5524103888895999/2199023255552 15196768698368006/2199023255552 -1407259980595202/549755813888 3786748932915201/549755813888 
-2336452352409599/274877906944 2082472355430401/274877906944 -9261515643289596/1099511627776 8335560959590395/1099511627776 
2129213679206401/549755813888 2619938229452802/549755813888 1060185728614399/274877906944 1309692814950399/274877906944 
8146308777397668/2199023255552 4840782484547475/2199023255552 1019993915391999/274877906944 597739071078401/274877906944 
-36403220054016000/4398046511104 3703639218585601/4398046511104 -72710239551487968/8796093022208 7334361300991999/8796093022208 
1665347564339202/549755813888 3069396071219201/549755813888 3342892164710396/1099511627776 6141231549644805/1099511627776 
7846946353971197/4398046511104 21511353768345604/4398046511104 1968254117478405/1099511627776 5377838442086401/1099511627776 
6473289144729599/2199023255552 -4875309652377596/2199023255552 6441924139417603/2199023255552 -4916039280230391/2199023255552 
25358810637926364/2199023255552 -7572807483391993/2199023255552 12671936102400010/1099511627776 -3782922888806399/1099511627776 
-4642744303616000/549755813888 3481651694796799/549755813888 -4670347857100798/549755813888 3474550318694399/549755813888 
6050783481036795/2199023255552 12664394743808004/2199023255552 6058864646553595/2199023255552 12653912339251192/2199023255552 
-7203702859366395/1099511627776 4911317752217595/1099511627776 -7194062671052798/1099511627776 4915936519782399/1099511627776 
-11140503437312044/1099511627776 8417134300364801/1099511627776 -11098012621209580/1099511627776 8406040366284799/1099511627776 
3931735955865597/2199023255552 9450233318604798/2199023255552 7807255655219207/4398046511104 18883932690841608/4398046511104 
1874147147776001/2199023255552 12204149571584000/2199023255552 3702144788070399/4398046511104 24372025124454392/4398046511104 
-6243048279244809/549755813888 3889736292761598/549755813888 -12686914800844810/1099511627776 7782491645542399/1099511627776 
6178546098499465/1099511627776 2731254053282897/1099511627776 12371515547937234/2199023255552 5461977547335093/2199023255552 
23879399086489608/2199023255552 4738416797286391/2199023255552 11926359139942346/1099511627776 2362894083686401/1099511627776 
93739251715276880/8796093022208 -6177221194547203/8796093022208 5845070485913617/549755813888 -383660064768000/549755813888 
52783675028275296/4398046511104 -8840470436249579/4398046511104 26482080481279960/2199023255552 -4390683410432005/2199023255552 
8092110133657601/1099511627776 7520589237452802/1099511627776 8068096065536000/1099511627776 7496789078835205/1099511627776 
2535932821503999/549755813888 2164629753036798/549755813888 10155427522150394/2199023255552 8656179429375999/2199023255552 
-25944115694796796/4398046511104 3539829417574401/4398046511104 -25806592855244788/4398046511104 3436707001139201/4398046511104 
-26566575574220816/4398046511104 3284057194496001/4398046511104 -13273356514099194/2199023255552 1667255238656001/2199023255552 
-10937499962572798/1099511627776 8555207432601599/1099511627776 -2748672324403200/274877906944 2139490562867199/274877906944 
-12848383760793590/1099511627776 7780489284812799/1099511627776 -12895639306240000/1099511627776 7777855261900801/1099511627776 
6649275429683221/549755813888 2860055212851199/549755813888 13306812799385610/1099511627776 5759371208294395/1099511627776 
97354184759705824/8796093022208 1282007262822397/8796093022208 390621208929894592/35184372088832 4437569857126401/35184372088832 
7635484645785603/549755813888 2592125380198398/549755813888 3808577349222393/274877906944 1288906158899199/274877906944 
-75085866493542384/8796093022208 8743052692684801/8796093022208 -18803393665433600/2199023255552 2209453021593593/2199023255552 
66018794589388824/4398046511104 -4682559573196807/4398046511104 65989944488755088/4398046511104 -4590367932416019/4398046511104 
-7121252909055995/4398046511104 -32293939629260780/4398046511104 -6815400486502389/4398046511104 -32225975127244808/4398046511104 
9410383150816916/2199023255552 3594168884424699/2199023255552 4754618735345057/1099511627776 1844157927866254/1099511627776 
8316200891187219/4398046511104 21792905651814420/4398046511104 4168528324198391/2199023255552 10893846485401610/2199023255552 
-9758410643865598/1099511627776 8660489496166403/1099511627776 -9735373848575996/1099511627776 8639197531340801/1099511627776 
-8390109560832007/549755813888 3306748169420798/549755813888 -16788995283353620/1099511627776 6587458938470403/1099511627776 
3818891142758391/2199023255552 13556291679027208/2199023255552 3797458249318395/2199023255552 13536164891852796/2199023255552 
31069404966794964/8796093022208 4858115575141535/8796093022208 31082164479781436/8796093022208 4715209029692783/8796093022208 
5228590006272005/1099511627776 4558497932902402/1099511627776 5228590006272005/1099511627776 4543293580902403/1099511627776 
1974098460672003/1099511627776 5503379832832003/1099511627776 3946888717926393/2199023255552 11028550752665596/2199023255552 
8840730483097603/1099511627776 4688908491161600/1099511627776 8841675040358404/1099511627776 4708664082431999/1099511627776 
-7828202848256002/1099511627776 1948455954022401/1099511627776 -31369947879833596/4398046511104 7816067887923209/4398046511104 
-27016196574412784/4398046511104 4733885690675185/4398046511104 -13496662097920006/2199023255552 2375520197017589/2199023255552 
5711889589862403/4398046511104 22206210690252800/4398046511104 1407101645619199/1099511627776 5541597492019201/1099511627776 
6429561428377591/4398046511104 -9785959671398410/4398046511104 3114088687206406/2199023255552 -4766024545075195/2199023255552 
60058420169932968/4398046511104 -5338403176448015/4398046511104 60094101952921624/4398046511104 -5321550043545579/4398046511104 
202948720617062720/17592186044416 8541100310528009/17592186044416 203304263378535072/17592186044416 8607667270451207/17592186044416 
9537549500416010/4398046511104 -8078770569215983/4398046511104 4651734794239997/2199023255552 -4041470273126389/2199023255552 
23502524094873684/2199023255552 4825347941990409/2199023255552 2949488889036811/274877906944 595557613568000/274877906944 
-15301393095065610/2199023255552 2629272023859193/2199023255552 -15301528990515202/2199023255552 2614606849638409/2199023255552 
4823793113497600/549755813888 4074605694156801/549755813888 4815730822348800/549755813888 4078993775001599/549755813888 
17337382076415998/4398046511104 6368406378905597/4398046511104 4310836025753605/1099511627776 1588183380787205/1099511627776 
6891701587148785/549755813888 -812953265766400/549755813888 27602286804991964/2199023255552 -3234961398169605/2199023255552 
-16933599785779228/1099511627776 6426087705804803/1099511627776 -1059659972608003/68719476736 400399086387200/68719476736 
46938862072627320/4398046511104 5259811566387195/4398046511104 47123116169625720/4398046511104 5347506493849579/4398046511104 
-3085581890355199/549755813888 2619775909888002/549755813888 -3111619500441599/549755813888 2618649110118402/549755813888 
2293496387993603/1099511627776 -2425672538521595/1099511627776 8864357836390393/4398046511104 -9712882312806394/4398046511104 
20993276693708788/4398046511104 -6571286541107211/4398046511104 21038729527295984/4398046511104 -6582371667148811/4398046511104 
2657591545036800/1099511627776 4196737535180805/1099511627776 5296059160985597/2199023255552 8385387613388808/2199023255552 
3054917962956804/1099511627776 6358842946355199/1099511627776 761749097676799/274877906944 1588990574592000/274877906944 
24023601895652032/8796093022208 4582510094633209/8796093022208 23944492915135724/8796093022208 4710105224498159/8796093022208 
27171619025715124/2199023255552 -7482368222822407/2199023255552 13547922364825552/1099511627776 -3740562096127995/1099511627776 
26262787168665592/2199023255552 -782100384972801/2199023255552 209792844955648832/17592186044416 -6391652889395197/17592186044416 
7572553308569601/1099511627776 8453568541491203/1099511627776 3797210365951999/549755813888 4221211718451201/549755813888 
-14449890662809602/2199023255552 -4851821130547203/2199023255552 -7234490728448002/1099511627776 -2417585500979197/1099511627776 
-2257423486156797/2199023255552 11484095787827200/2199023255552 -8520754580684797/8796093022208 45925635666739192/8796093022208 
-3809102895513612/274877906944 1647250400870399/274877906944 -3804798700748795/274877906944 1643633547673599/274877906944 
-3864645127372799/4398046511104 16275842321612802/4398046511104 -3875989461401599/4398046511104 16310935224320012/4398046511104 
2664897183744005/1099511627776 -1377733653299197/1099511627776 5286743611801589/2199023255552 -2799061224652794/2199023255552 
13415121093743892/2199023255552 7371704472282705/2199023255552 3333505368780653/549755813888 1822651213415356/549755813888 
2684952038604802/549755813888 2528436971110401/549755813888 5353096662220796/1099511627776 5046987128832003/1099511627776 
7865819044249601/1099511627776 4700107702272005/1099511627776 7850037556019201/1099511627776 4681898131455995/1099511627776 
771473853644801/274877906944 -464746079846401/274877906944 6094860582911995/2199023255552 -3810697989324804/2199023255552 
-30585321108275200/4398046511104 8519414081126421/4398046511104 -15240424692121594/2199023255552 4227668849459207/2199023255552 
-1962995508838402/1099511627776 8446701626982405/1099511627776 -8215197017702385/4398046511104 33823515056537588/4398046511104 
21163052053299208/4398046511104 -6034253309542389/4398046511104 21174888379187216/4398046511104 -5967145703833611/4398046511104 
17743311850700814/1099511627776 7605939968409595/1099511627776 17770281225420848/1099511627776 7627445003878403/1099511627776 
12665214310809600/1099511627776 -3709504113868795/1099511627776 25378799013068696/2199023255552 -7430099645235191/2199023255552 
23895156247756696/2199023255552 4777560978227193/2199023255552 23879399086489608/2199023255552 4738416797286391/2199023255552 
-9456668219801596/1099511627776 8227938474393601/1099511627776 -9467017245491202/1099511627776 8206527391334403/1099511627776 
-8502237567385599/8796093022208 26089173182054440/8796093022208 -8320161991884801/8796093022208 26363463886438428/8796093022208 
-4641647493120001/549755813888 533340251750400/549755813888 -74263333280153600/8796093022208 8700099664281597/8796093022208 
6196200420147211/2199023255552 13091595511398406/2199023255552 6179325896294391/2199023255552 13095349413478392/2199023255552 
-7676905075507200/2199023255552 -1900784123904001/2199023255552 -30928784274227220/8796093022208 -8117822894899203/8796093022208 
-18159693830553608/2199023255552 6182101267251209/2199023255552 -9072558053785598/1099511627776 3128545404518403/1099511627776 
4010486949478402/2199023255552 8931030492774399/2199023255552 8032418476851221/4398046511104 17825505109606398/4398046511104 
121513442908569552/8796093022208 -7017282404351997/8796093022208 60867350416588632/4398046511104 -3368631769497601/4398046511104 
8683068273459211/2199023255552 10355421164339190/2199023255552 4331829356134398/1099511627776 5196283379712001/1099511627776 
-5337930897817603/2199023255552 15922799365324790/2199023255552 -2631446351052804/1099511627776 7950242834022397/1099511627776 
8520695860428805/4398046511104 30466367291392020/4398046511104 8573039935488019/4398046511104 30446603730944004/4398046511104 
3165971808255990/2199023255552 2702692476518401/2199023255552 6443149295615993/4398046511104 5383680688127991/4398046511104 
4572453221171205/1099511627776 4769023472435203/1099511627776 4582979246489602/1099511627776 4769023472435203/1099511627776 
15569147396096006/1099511627776 4676928300646405/1099511627776 15517768849817606/1099511627776 4647902878105603/1099511627776 
30120139240243132/2199023255552 7517706072883203/2199023255552 7509522985779197/549755813888 1876243880345602/549755813888 
-15053706022092772/1099511627776 6492101437030397/1099511627776 -7505884007628803/549755813888 3251118696038399/549755813888 
-8310700480921598/1099511627776 7170372403200001/1099511627776 -8263072481279996/1099511627776 7139402501324803/1099511627776 
-9166942476697598/1099511627776 8890823055769603/1099511627776 -9193812026982402/1099511627776 8883116441600003/1099511627776 
-2723000247910401/274877906944 2140494259814400/274877906944 -10937499962572798/1099511627776 8555207432601599/1099511627776 
2862657568768002/1099511627776 7797157448908795/1099511627776 5593074185011195/2199023255552 15519641187123190/2199023255552 
45244658535628704/4398046511104 5301711405055979/4398046511104 11309814068019210/1099511627776 1328551454310403/1099511627776 
3263995209318395/1099511627776 5181873428889602/1099511627776 389767925/131072 617950550/131072 
4781870625587199/549755813888 -4947802324992000/549755813888 4726895044198399/549755813888 -4947802324992000/549755813888 
-13530971504639992/2199023255552 2347882040524803/2199023255552 -27117218902835208/4398046511104 4705294798028807/4398046511104 
8216012390399999/1099511627776 4070562804531202/1099511627776 16463069341286408/2199023255552 8127307893964799/2199023255552 
-5114698294886399/549755813888 3226981105664001/549755813888 -10211220992819198/1099511627776 6439618111078403/1099511627776 
-8298887643135983/549755813888 3335732697497600/549755813888 -16561365372108806/1099511627776 6686938182451199/1099511627776 
-38277305545523208/4398046511104 6979053001113607/4398046511104 -4772853291417601/549755813888 870660177920000/549755813888 
-7102147854335997/1099511627776 5142649556172797/1099511627776 -7090322433638401/1099511627776 5135999906611199/1099511627776 
1772359513489224322765891640178195752696461/378629287416231795958905815080441479168 1481804080683300713844436199030011917796965/378629287416231795958905815080441479168 10299837917574084/2199023255552 8611118209038453/2199023255552 
31683205346099268/2199023255552 -3203835677900805/2199023255552 31724953770393532/2199023255552 -3205144510464007/2199023255552 
6386150801408005/4398046511104 4978019768729612/4398046511104 6211039867699187/4398046511104 4935053318553593/4398046511104 
-8802302269849599/1099511627776 873247381913600/1099511627776 -70234741198028800/8796093022208 6815838371840003/8796093022208 
-15321121423359994/2199023255552 -6596848307404805/2199023255552 -7657895650918395/1099511627776 -3336100747673596/1099511627776 
-17266647656038406/2199023255552 4902688391168003/2199023255552 -2143137929625599/274877906944 608499977420801/274877906944 
7871584534528003/1099511627776 6019929761382399/1099511627776 1966531726540801/274877906944 1500889323929599/274877906944 
2308190502911995/1099511627776 4626872218419203/1099511627776 4610640261939191/2199023255552 9237239011737592/2199023255552 
-14271657908633634/1099511627776 5932407639244799/1099511627776 -14290659783475248/1099511627776 5958156471500797/1099511627776 
-7770731655987199/1099511627776 -5877638837043204/1099511627776 -1944700374220799/274877906944 -1477109717401600/274877906944 
-4528480976895993/274877906944 1496554825318400/274877906944 -18120619694489636/1099511627776 5997282616934401/1099511627776 
6436962277785597/2199023255552 12321493614592010/2199023255552 6467861715353597/2199023255552 12316614800179204/2199023255552 
4842443925094401/1099511627776 7386499855155204/1099511627776 4827654389760001/1099511627776 7397833703424002/1099511627776 
2681271327129601/274877906944 775130605158399/274877906944 21388427106713600/2199023255552 6209065189376005/2199023255552 
29995313397759944/2199023255552 7481156907827199/2199023255552 29949521664409532/2199023255552 7419646600806403/2199023255552 
-5771064927846403/1099511627776 7551487836159995/1099511627776 -5732107812864005/1099511627776 7551562494771197/1099511627776 
7968779141119983/549755813888 -2113197519667198/549755813888 15889602288025620/1099511627776 -4238432691814403/1099511627776 
-10648938558259202/1099511627776 7887043061350405/1099511627776 -10674096832512000/1099511627776 7880130848358405/1099511627776 
-8618934009855999/1099511627776 970849360281600/1099511627776 -69003877390745560/8796093022208 7707049538355197/8796093022208 
2610564589158398/8796093022208 7810425710182399/8796093022208 5222843809792001/17592186044416 15318928641228796/17592186044416 
38496305256857696/2199023255552 -8065324469452805/2199023255552 38521679118335960/2199023255552 -8083838966169603/2199023255552 
5540547657727996/1099511627776 -1752605969612803/1099511627776 5529684410367995/1099511627776 -1746340203724798/1099511627776 
4333351888486396/1099511627776 1796984746803203/1099511627776 17469740888883204/4398046511104 6808185025331205/4398046511104 
216123613328179200/17592186044416 -7909670492569593/17592186044416 26972352675840060/2199023255552 -983212805324801/2199023255552 
-642768542105600/274877906944 1926920719564801/274877906944 -2557002278502402/1099511627776 7708549421465595/1099511627776 
-7247357175398401/1099511627776 -6005873809817602/1099511627776 -7223436220825603/1099511627776 -6013926034636805/1099511627776 
4612559994879995/2199023255552 8547142624870392/2199023255552 4639117069516797/2199023255552 8557016016486390/2199023255552 
5007400029388801/2199023255552 2422879761203191/2199023255552 9951268936089582/4398046511104 4848177958092783/4398046511104 
6723804856319995/1099511627776 8353864063385601/1099511627776 3381341978624002/549755813888 4192153580339201/549755813888 
-7893023299993597/1099511627776 -4737853921689599/1099511627776 -7865581646643205/1099511627776 -4743352654233605/1099511627776 
-5511638417407997/549755813888 2697114261913599/549755813888 -5439526587596799/549755813888 2697502025318402/549755813888 
-9306120388608000/1099511627776 7170900885504003/1099511627776 -9280030140006404/1099511627776 7168554591846403/1099511627776 
2968084964966391/2199023255552 10639245521715192/2199023255552 1436172576358399/1099511627776 5304984639897597/1099511627776 
-32023836517990392/4398046511104 4289122113945599/4398046511104 -32164281948569592/4398046511104 4053382096486399/4398046511104 
5346176060620797/1099511627776 4629769643622399/1099511627776 5355073857126400/1099511627776 4611973631180799/1099511627776 
-31746193725849612/4398046511104 4922813920051215/4398046511104 -31942165030502404/4398046511104 4574863268249607/4398046511104 
2813946599833605/1099511627776 7797912423628803/1099511627776 2862657568768002/1099511627776 7797157448908795/1099511627776 
2551408179972736393396368272918993392991688/1013839269487880930091233322271755993088 3207546440585526677409620401615707747507157/1013839269487880930091233322271755993088 5515516654219277/2199023255552 6932915935993753/2199023255552 
19785996618956800/2199023255552 5680594209996797/2199023255552 19791209299968000/2199023255552 5633149920870401/2199023255552 
5818068395622396/1099511627776 4576658010931195/1099511627776 5814908826419202/1099511627776 4586135879680003/1099511627776 
-11607521571635214/1099511627776 8273499521024003/1099511627776 -11635863322624034/1099511627776 8259810151628799/1099511627776 
3113919447040004/1099511627776 5672833908735997/1099511627776 3096369640243202/1099511627776 5670063151513599/1099511627776 
10288760252006402/2199023255552 8651501102694397/2199023255552 1283171077324799/274877906944 1084361696870399/274877906944 
-3391075/512 3978200/512 -7322863874867196/1099511627776 8553517966950403/1099511627776 
92158556110847808/8796093022208 -5325324917145599/8796093022208 46038992604364784/4398046511104 -2623616004915201/4398046511104 
-8152236320358403/1099511627776 -7937550870118399/1099511627776 -8228700160000003/1099511627776 -7920558905753599/1099511627776 
36916220343091200/8796093022208 3379467753881603/8796093022208 72960206648115168/17592186044416 6843207463731195/17592186044416 
3584097414932521465903106430803931021028729/3303527023083906983013385135051337891840 8092225202916464555943445029221009702486704/3303527023083906983013385135051337891840 4781939831603201/4398046511104 10777157592678388/4398046511104 
5028591330918397/1099511627776 4482474914611205/1099511627776 10096948019199998/2199023255552 8978984809267195/2199023255552 
-4594044239872018/4398046511104 6691134583603201/4398046511104 -2302463180799996/2199023255552 3374891348787189/2199023255552 
-8043752325119997/1099511627776 9139141790924804/1099511627776 -7955612382003205/1099511627776 9139339762073596/1099511627776 
17295499434393648/1099511627776 6778530037760003/1099511627776 17265510160793558/1099511627776 6770768897638395/1099511627776 
5335129522175993/2199023255552 12382019937894402/2199023255552 2652308819148805/1099511627776 6196095143116797/1099511627776 
-7474434277376003/1099511627776 7726279583334395/1099511627776 -1864143313305600/274877906944 1932843076812801/274877906944 
5113399676874477/2199023255552 7194000582153841/2199023255552 5136710805995923/2199023255552 7107749404404523/2199023255552 
-9454862991360000/1099511627776 7118953591603201/1099511627776 -9435170734080000/1099511627776 7160282585497599/1099511627776 
2769389459865595/1099511627776 5709780693811199/1099511627776 2751839653068804/1099511627776 5707009936588801/1099511627776 
-7515578721894397/1099511627776 -5863966244863998/1099511627776 -7485555893862401/1099511627776 -5860247155507198/1099511627776 
-25953336452710408/4398046511104 -8482339789209613/4398046511104 -26136914427903984/4398046511104 -8486212809523215/4398046511104 
32201094515916772/2199023255552 -4157597548543997/2199023255552 64442561724415944/4398046511104 -8385015998054401/4398046511104 
-2072288375603202/1099511627776 8175051656396799/1099511627776 -4226836699545607/2199023255552 16335797380710392/2199023255552 
53321931738316720/4398046511104 8156126117887981/4398046511104 53561366098739376/4398046511104 8053273395199999/4398046511104 
8671361132134403/2199023255552 -1061671246233601/2199023255552 69183266095103920/17592186044416 -8831362924543999/17592186044416 
1496046685388795/1099511627776 7296995924377602/1099511627776 2959678531174401/2199023255552 14603606871244806/2199023255552 
5015928284543174/1099511627776 3822487463166343/1099511627776 2522949941364651/549755813888 1928874083457369/549755813888 
15230987508121590/4398046511104 2000384792985601/4398046511104 61455136823705528/17592186044416 7959977813606393/17592186044416 
784762465681408896/70368744177664 5841871490252803/70368744177664 3058967982899207/274877906944 25576267776000/274877906944 
15645674989158420/1099511627776 -1266145663385597/1099511627776 15649273701990414/1099511627776 -1224902128435203/1099511627776 
3492383660441594/274877906944 1050109018111999/274877906944 13985131580620828/1099511627776 4208212731494401/1099511627776 
-5225703486259197/549755813888 3685857466777601/549755813888 -10454933543321598/1099511627776 7399362946662405/1099511627776 
64995690853452572017273541722390486138282552/10838663951993103727276025660466270306304 40178866223048215772036916888774613726333865/10838663951993103727276025660466270306304 13071905770700796/2199023255552 8238599556300805/2199023255552 
6159793022566409/2199023255552 8910561450393602/2199023255552 6309099519799422/2199023255552 8927370602262457/2199023255552 
-12300/1 -9000/1 -12400/1 -9000/1 
15008449481932810/2199023255552 8580693701427205/2199023255552 15042669969408008/2199023255552 8580693701427205/2199023255552 
11973743869951976/1099511627776 8118395836825599/1099511627776 11934486862233624/1099511627776 8104303814246395/1099511627776 
100744242711756848/8796093022208 -7710649928908801/8796093022208 100546748035891392/8796093022208 -7627212639436799/8796093022208 
-10133303407411204/1099511627776 8294523889254401/1099511627776 -10104244430438396/1099511627776 8318359280025597/1099511627776 
6815967136972793/549755813888 -4947802324992000/549755813888 6760991555583993/549755813888 -4947802324992000/549755813888 
7809657313689597/8796093022208 49587726109900760/8796093022208 7980029103308803/8796093022208 49814986922393632/8796093022208 
30273446084608028/2199023255552 8107941953536003/2199023255552 7574287233843179/549755813888 2029096691302398/549755813888 
-8659601142579202/1099511627776 8911671263231997/1099511627776 -8783363309568002/1099511627776 8910309792153599/1099511627776 
8981342008115193/549755813888 3085420409651201/549755813888 17945430327295958/1099511627776 6152981472870403/1099511627776 
38310094936473576/2199023255552 -8007469917798411/2199023255552 4786154687692810/274877906944 -997462953164801/274877906944 
5800378079641603/1099511627776 7873258061823998/1099511627776 5784037490688001/1099511627776 7865543059046399/1099511627776 
53757971582156744/4398046511104 7927981984972817/4398046511104 53749009193369528/4398046511104 7832980160511995/4398046511104 
-49735513250201576/8796093022208 5295503415705601/8796093022208 -12296180989951996/2199023255552 1278056543027199/2199023255552 
-31743338243686412/4398046511104 5201601337753605/4398046511104 -31657200661299220/4398046511104 5280054955212781/4398046511104 
5065131268505595/1099511627776 7520694933913598/1099511627776 5097953375027204/1099511627776 7490441419161601/1099511627776 
17779807328665552/1099511627776 6080776948940801/1099511627776 8897855225856007/549755813888 3023770432307200/549755813888 
-9384708223795198/1099511627776 7927262242406397/1099511627776 -9359666551193594/1099511627776 7939386297548801/1099511627776 
-18133622036889592/1099511627776 6658552391270399/1099511627776 -9059573327462410/549755813888 3333522299289599/549755813888 
6418509437337593/2199023255552 15585441428275206/2199023255552 6584952002969597/2199023255552 15529932331417594/2199023255552 
