12834
8849800/20833 8347800/20833 26545600/62501 26206600/62501 
-27275542/62499 43993900/62499 -9091854/20833 14666300/20833 
2700084/62501 25115202/62501 2725084/62501 25115302/62501 
17865600/62501 8671600/62501 5954800/20833 2942800/20833 
-10000/25 -10849/25 90/1 -432/1 
-448/1 1100/1 -28024458/62501 62748600/62501 
30375600/62501 6221600/62501 5350/11 1095/11 
8881566/20833 406300/20833 26644598/62499 1243900/62499 
3959900/62499 22633798/62499 2734900/62499 22638698/62499 
11589400/62499 15103400/62499 11585600/62501 16146600/62501 
33850402/62501 -34900/62501 32899598/62499 -31100/62499 
56483600/62501 -27049502/62501 56488600/62501 -27049482/62501 
31440600/62501 22524600/62501 30309400/62499 22528400/62499 
451912/753 -318380/753 37508596/62499 -26450540/62499 
32700600/62501 25019600/62501 31549400/62499 25023400/62499 
149938/62499 43889198/62499 149918/62499 43894198/62499 
1100/1 -472/1 1100/1 -462/1 
12149800/20833 8331800/20833 36550600/62501 24996600/62501 
50240904/62501 -26400462/62501 50240804/62501 -26375462/62501 
12860600/62501 9901600/62501 4629800/20833 3301800/20833 
3019800/20833 7537800/20833 8940600/62501 22614600/62501 
13875600/62501 6344600/62501 12874400/62499 6348400/62499 
27600202/62501 -59900/62501 440/1 -400/1 
13970600/62501 30094600/62501 13969400/62499 29905400/62499 
34089400/62499 15013400/62499 34085600/62501 16236600/62501 
36384698/62499 3679900/62499 36384598/62499 3704900/62499 
-2745600/6251 2485204/6251 -10900/25 9936/25 
-410/1 504/1 -51250/125 62997/125 
388/1 -400/1 24149798/62499 -46100/62499 
402/1 20/1 25125302/62501 1225020/62501 
1450100/62501 31356302/62501 1475100/62501 31356402/62501 
23934400/62499 21195400/62499 24065600/62501 21196600/62501 
22605302/62501 1235100/62501 22605202/62501 1210100/62501 
-57500/125 25008/125 -11400/25 5002/25 
28884400/62499 8715400/62499 29115600/62501 8716600/62501 
21484400/62499 33685400/62499 21515600/62501 33686600/62501 
62500/125 -55352/125 62500/125 -55402/125 
50248600/62501 -30824502/62501 50246004/62501 -30175502/62501 
62528/125 -53000/125 62538/125 -53000/125 
200/1 -444/1 25008/125 -55500/125 
43883998/62499 2449922/62499 43878998/62499 2449942/62499 
1475064/62501 25115302/62501 2700064/62501 25120202/62501 
451912/753 -318380/753 37513696/62499 -26425520/62499 
100/1 302/1 100/1 318/1 
23900600/62501 12554600/62501 23899400/62499 12445400/62499 
7589800/20833 10852800/20833 22730600/62501 32559600/62501 
-2198/5 1520/5 -440/1 304/1 
25305600/62501 23701600/62501 8434800/20833 7932800/20833 
56493600/62501 -28299482/62501 56491004/62501 -27650482/62501 
28875600/62501 6284600/62501 27874400/62499 6288400/62499 
18874400/62499 6175400/62499 19125600/62501 6176600/62501 
17814400/62499 21328400/62499 17810600/62501 22421600/62501 
20165600/62501 16319600/62501 19084400/62499 16323400/62499 
8935600/62501 21364600/62501 8934400/62499 21135400/62499 
-52500/125 25008/125 -10400/25 5002/25 
37503/125 -61750/125 304/1 -494/1 
5204900/62499 23878798/62499 3979900/62499 23883698/62499 
35399498/62499 -16100/62499 35149498/62499 -15100/62499 
20130600/62501 7569600/62501 19119400/62499 7573400/62499 
35155600/62501 13759600/62501 11364800/20833 4587800/20833 
2020/5 -2116/5 62500/125 -52852/125 
13895600/62501 11344600/62501 13894400/62499 11155400/62499 
27800600/62501 24961600/62501 9649800/20833 8321800/20833 
37620202/62501 1150040/62501 37615202/62501 1150060/62501 
25120202/62501 2450060/62501 25115302/62501 1225060/62501 
-500/1 -500/1 -510/1 -510/1 
12884798/62499 3748900/62499 4293266/20833 1666300/20833 
2734900/62499 16388798/62499 1484900/62499 16393798/62499 
16554400/62499 23833400/62499 16445600/62501 23834600/62501 
300/1 -484/1 300/1 -494/1 
12139800/20833 5831800/20833 36580600/62501 17496600/62501 
-28525522/62499 43993900/62499 -9508514/20833 14666300/20833 
27820600/62501 19961600/62501 27819400/62499 20038400/62499 
5884800/20833 4556800/20833 17845600/62501 13671600/62501 
28944400/62499 23715400/62499 29055600/62501 23716600/62501 
75500/125 -60002/125 604/1 -480/1 
32814400/62499 21268400/62499 32685600/62501 21269600/62501 
-9975168/20833 12501232/20833 -59852/125 75000/125 
3941100/62501 33616302/62501 3940900/62499 33633698/62499 
-61250/125 50003/125 -60000/125 50008/125 
3020/5 -2414/5 43995804/62501 -30150502/62501 
34030600/62501 29986600/62501 34029400/62499 30013400/62499 
8959400/62499 27385400/62499 8955600/62501 26364600/62501 
36570600/62501 19996600/62501 12189800/20833 6667800/20833 
-53750/125 62503/125 -430/1 500/1 
16746300/20833 -9600166/20833 50238600/62501 -28324502/62501 
16746300/20833 -9183506/20833 50238600/62501 -27074482/62501 
400/1 -434/1 400/1 -440/1 
1461100/62501 22356202/62501 1486100/62501 22356302/62501 
225084/62501 18855202/62501 225064/62501 18860202/62501 
3020/5 -2418/5 43996004/62501 -30200502/62501 
21440600/62501 22564600/62501 21439400/62499 22435400/62499 
14134798/62499 3743900/62499 14129798/62499 4993900/62499 
3986100/62501 34866502/62501 3985900/62499 34883498/62499 
3976100/62501 31116402/62501 5176100/62501 31121202/62501 
22605302/62501 1235100/62501 21644698/62499 1238900/62499 
37639598/62499 1199920/62499 37625402/62501 1200020/62501 
8034800/20833 3767800/20833 23895600/62501 11304600/62501 
12705600/62501 26349600/62501 4234800/20833 8716800/20833 
6415600/62501 16374600/62501 6414400/62499 16125400/62499 
-10400/25 10004/25 -10400/25 10006/25 
498300/20833 6714566/20833 1491100/62501 21106302/62501 
28850402/62501 -14900/62501 9299866/20833 -3700/20833 
8337932/20833 -9233500/20833 2020/5 -2216/5 
-10900/25 7502/25 -10900/25 7504/25 
-10400/25 2416/25 -416/1 100/1 
-3123100/6251 1875204/6251 -500/1 204/1 
-450/1 200/1 -440/1 200/1 
504/1 -474/1 600/1 -474/1 
200/1 -434/1 25003/125 -54250/125 
-450/1 204/1 -456/1 204/1 
2725044/62501 31375402/62501 2724916/62499 31384598/62499 
14065600/62501 21156600/62501 15184400/62499 21160400/62499 
62738600/62501 -28274502/62501 62743600/62501 -28274482/62501 
37620502/62501 3725080/62501 37620402/62501 3700080/62501 
9115600/62501 8636600/62501 9114400/62499 8863400/62499 
-29875498/62501 43995704/62501 -29900498/62501 43995804/62501 
3409800/20833 10796800/20833 10225600/62501 31359600/62501 
18954400/62499 26175400/62499 19045600/62501 26176600/62501 
-26175524/62499 31263796/62499 -315368/753 376612/753 
898300/20833 10879566/20833 2669900/62499 32638798/62499 
35349400/62499 12508400/62499 35150600/62501 12509600/62501 
155900/62499 36148798/62499 154900/62499 36398798/62499 
20134400/62499 8680400/62499 20130600/62501 7569600/62501 
15325600/62501 18661600/62501 5474800/20833 6221800/20833 
8034800/20833 3767800/20833 24100600/62501 12446600/62501 
27710600/62501 27539600/62501 26539400/62499 27543400/62499 
8883266/20833 -18700/20833 26350202/62501 -54900/62501 
-29950504/62499 37503596/62499 -9975168/20833 12501232/20833 
17799400/62499 25078400/62499 17700600/62501 25079600/62501 
10899800/20833 8326800/20833 32800600/62501 24981600/62501 
-400/1 144/1 -400/1 156/1 
1461100/62501 22356202/62501 1459900/62499 22643798/62499 
-27425458/62501 43995904/62501 -27425478/62501 43990904/62501 
10963166/20833 831300/20833 32639498/62499 2494900/62499 
17764400/62499 33828400/62499 17735600/62501 33829600/62501 
-2498/5 3020/5 -62452/125 75000/125 
24009400/62499 35053400/62499 24005600/62501 36196600/62501 
-8733508/20833 8337932/20833 -10400/25 10006/25 
18939400/62499 22425400/62499 19060600/62501 22426600/62501 
100/1 98/1 25600/251 24600/251 
16579400/62499 17583400/62499 16420600/62501 17584600/62501 
-10400/25 10006/25 -51250/125 50033/125 
185900/62499 34898698/62499 160900/62499 34898798/62499 
-26125438/62501 43995704/62501 -26150438/62501 43995804/62501 
24049400/62499 25053400/62499 23950600/62501 25054600/62501 
36425600/62501 18754600/62501 36424400/62499 18745400/62499 
20379698/62499 4993900/62499 20375600/62501 6181600/62501 
16560600/62501 22416600/62501 17689400/62499 22420400/62499 
37624798/62499 4899920/62499 37625202/62501 4900080/62501 
10963266/20833 806300/20833 32639798/62499 2419900/62499 
5002/25 -10500/25 25008/125 -53000/125 
1002/5 -2000/5 5009/25 -10250/25 
22635600/62501 8809600/62501 7544800/20833 2896800/20833 
37625502/62501 2475040/62501 37625402/62501 2450040/62501 
10335600/62501 16141600/62501 3444800/20833 5452800/20833 
37605302/62501 -74920/62501 37605202/62501 -99920/62501 
498300/20833 8797866/20833 1491100/62501 27356402/62501 
10889800/20833 5826800/20833 32665600/62501 16269600/62501 
100/1 122/1 -400/1 124/1 
5002/25 -11000/25 25008/125 -55500/125 
10422932/20833 -8808500/20833 31268696/62499 -26450500/62499 
216100/62501 21101202/62501 214900/62499 21398798/62499 
3950064/62501 37625402/62501 3975064/62501 37625502/62501 
5046/25 0/25 5044/25 0/25 
5149916/62499 37624798/62499 3999916/62499 37629398/62499 
500/1 -460/1 62500/125 -57852/125 
-56250/125 62503/125 -450/1 500/1 
31490600/62501 35024600/62501 31489400/62499 34975400/62499 
54300/623 310286/623 5225900/62499 31128598/62499 
13880600/62501 7594600/62501 4289800/20833 2532800/20833 
111496/101 -44662/101 111488/101 -42662/101 
9624800/20833 2071800/20833 29125600/62501 6216600/62501 
28985600/62501 33784600/62501 9254800/20833 11262800/20833 
-416/1 600/1 150084/62501 37605202/62501 
16449400/62499 24915400/62499 16550600/62501 24916600/62501 
26370402/62501 4995100/62501 8459866/20833 1666300/20833 
11794866/20833 1236300/20833 35384498/62499 3733900/62499 
304/1 -474/1 400/1 -474/1 
5206100/62501 23621202/62501 5231100/62501 23621302/62501 
20290600/62501 27431600/62501 20289400/62499 27568400/62499 
5204900/62499 30128698/62499 5179900/62499 30128798/62499 
6724800/20833 6226800/20833 20325600/62501 18681600/62501 
2700100/62501 31361302/62501 2725100/62501 31361402/62501 
37644398/62499 -80/62499 37639798/62499 1149920/62499 
-29950504/62499 31253696/62499 -9975168/20833 10417932/20833 
37620302/62501 2425060/62501 37615302/62501 2425080/62501 
200044/62501 31365302/62501 225044/62501 31365402/62501 
-490/1 200/1 -480/1 200/1 
3454800/20833 2952800/20833 10135600/62501 8859600/62501 
19129798/62499 4973900/62499 6376566/20833 1666300/20833 
10463266/20833 391640/20833 31389698/62499 1199920/62499 
36485600/62501 33754600/62501 11754800/20833 11252800/20833 
1450044/62501 37620402/62501 1475044/62501 37620502/62501 
2725084/62501 18865202/62501 2725064/62501 18870202/62501 
7594800/20833 9602800/20833 22715600/62501 28809600/62501 
-458/1 1004/1 -28625478/62501 62746004/62501 
12543166/20833 1241640/20833 37625502/62501 3725060/62501 
17829400/62499 17578400/62499 17670600/62501 17579600/62501 
-2092/5 3020/5 -26150504/62499 37518796/62499 
3949918/62499 43878998/62499 1308306/20833 16709666/20833 
27605402/62501 1240100/62501 27605302/62501 1215100/62501 
11754800/20833 11252800/20833 35235600/62501 33759600/62501 
2712/5 0/5 11298266/20833 388300/20833 
25135600/62501 8799600/62501 25134400/62499 8700400/62499 
304/1 -474/1 304/1 -464/1 
6460600/62501 27624600/62501 6459400/62499 27375400/62499 
43995704/62501 -26375442/62501 43993900/62499 -26275558/62499 
62628898/62499 1149962/62499 56388898/62499 1174922/62499 
-476/1 604/1 -59502/125 75500/125 
1444900/62499 26393798/62499 244900/62499 26398598/62499 
-26150458/62501 43990804/62501 -26175458/62501 43990904/62501 
26529400/62499 30043400/62499 26470600/62501 30044600/62501 
25275600/62501 31201600/62501 8824800/20833 10401800/20833 
12128266/20833 1218300/20833 36365202/62501 3655100/62501 
14661300/20833 -9175166/20833 75500/125 -55002/125 
-62352/125 62500/125 -496/1 500/1 
16460600/62501 27584600/62501 16459400/62499 27415400/62499 
8944400/62499 23635400/62499 9055600/62501 23636600/62501 
37518/125 -58000/125 304/1 -464/1 
36634498/62499 3728900/62499 12128166/20833 1243300/20833 
5166100/62501 33621202/62501 5165900/62499 33628798/62499 
30345600/62501 13721600/62501 10114800/20833 4592800/20833 
604/1 -444/1 3020/5 -2218/5 
3936100/62501 34866302/62501 3935900/62499 34883698/62499 
27835600/62501 16211600/62501 27834400/62499 16288400/62499 
3964900/62499 27633698/62499 1313300/20833 9211266/20833 
-11900/25 10002/25 -476/1 404/1 
175900/62499 31148798/62499 175100/62501 31351202/62501 
224/1 -400/1 228/1 -400/1 
504/1 -410/1 520/1 -410/1 
-9091834/20833 14661300/20833 -27275522/62499 43988900/62499 
20370600/62501 7431600/62501 21379400/62499 7435400/62499 
-488/1 90/1 -12249/25 -10000/25 
100/1 462/1 100/1 478/1 
11294866/20833 1238300/20833 33865402/62501 3715100/62501 
26484400/62499 33705400/62499 26480600/62501 32544600/62501 
-2494/5 3020/5 -62352/125 75000/125 
8376566/20833 1241640/20833 25125302/62501 3725060/62501 
43980804/62501 -26400502/62501 43985804/62501 -26400482/62501 
913300/20833 11296166/20833 2714900/62499 33888598/62499 
-9925174/20833 14666300/20833 -29800502/62499 50243900/62499 
100/1 -474/1 12513/125 -59250/125 
26515600/62501 33706600/62501 26514400/62499 33793400/62499 
35179400/62499 19990400/62499 35175600/62501 18759600/62501 
-2050/5 1482/5 -400/1 296/1 
62503/125 -59250/125 62513/125 -59250/125 
8419800/20833 11682800/20833 25255600/62501 36201600/62501 
7714400/62499 28630400/62499 7710600/62501 27619600/62501 
6789800/20833 2522800/20833 20365600/62501 8681600/62501 
3900064/62501 37625202/62501 1299972/20833 12543266/20833 
50248900/62499 -28800538/62499 50243900/62499 -28800518/62499 
31374598/62499 4974920/62499 502/1 80/1 
-26025502/62499 43978900/62499 -26125498/62501 43980704/62501 
30180600/62501 20029600/62501 9689800/20833 6677800/20833 
-26225524/62499 18763796/62499 -10400/25 7506/25 
3020/5 -2312/5 43990704/62501 -28875502/62501 
9075600/62501 18636600/62501 10174400/62499 18640400/62499 
17629400/62499 7420400/62499 17625600/62501 6329600/62501 
22600302/62501 -14900/62501 7216566/20833 -3700/20833 
29085600/62501 16216600/62501 10054800/20833 5406800/20833 
17664400/62499 16170400/62499 17660600/62501 15079600/62501 
37629398/62499 3749920/62499 37624798/62499 4899920/62499 
50003/125 -61750/125 400/1 -500/1 
17839400/62499 15078400/62499 17660600/62501 15079600/62501 
37510900/62499 -27124520/62499 75500/125 -54248/125 
25294400/62499 26298400/62499 25205600/62501 26299600/62501 
5231100/62501 36121502/62501 5230900/62499 36128498/62499 
43878998/62499 -50018/62499 43878898/62499 -25018/62499 
-27400458/62501 56496004/62501 -28049458/62501 56498600/62501 
36529400/62499 30003400/62499 36525600/62501 31246600/62501 
18870202/62501 4975100/62501 18865202/62501 3725100/62501 
12502932/20833 -8800180/20833 451912/753 -318380/753 
-28625498/62501 62741004/62501 -29274498/62501 62743600/62501 
-26150478/62501 56486004/62501 -26799478/62501 56488600/62501 
200/1 -440/1 200/1 -444/1 
30105402/62501 1230100/62501 30105302/62501 1205100/62501 
34119400/62499 7513400/62499 33880600/62501 7514600/62501 
14666300/20833 -8758526/20833 43894198/62499 -100078/62499 
-476/1 404/1 -11900/25 12466/25 
20295600/62501 26181600/62501 21454400/62499 26185400/62499 
125098/249 -100/249 31399498/62499 -100/62499 
17815600/62501 21171600/62501 17814400/62499 21328400/62499 
35265600/62501 33741600/62501 36484400/62499 33745400/62499 
18753796/62499 -30225500/62499 1520/5 -2418/5 
225024/62501 25120302/62501 225004/62501 25125302/62501 
31515600/62501 33726600/62501 32734400/62499 33730400/62499 
10464866/20833 -8360/20833 31394498/62499 -80/62499 
1466100/62501 27356302/62501 1491100/62501 27356402/62501 
36474400/62499 31245400/62499 36525600/62501 31246600/62501 
13969400/62499 29905400/62499 13965600/62501 28844600/62501 
25295600/62501 26201600/62501 26454400/62499 26205400/62499 
30199400/62499 24970400/62499 30195600/62501 23779600/62501 
-50000/125 50008/125 200084/62501 25105202/62501 
524/1 -410/1 528/1 -400/1 
43998600/62501 -29599482/62501 50243600/62501 -29574502/62501 
-400/1 -500/1 -500/1 -500/1 
15190600/62501 22589600/62501 15189400/62499 22410400/62499 
12640600/62501 10099600/62501 12639400/62499 9900400/62499 
12835600/62501 16151600/62501 12834400/62499 16348400/62499 
3949916/62499 31379698/62499 3924916/62499 31379798/62499 
29075600/62501 18716600/62501 29074400/62499 18783400/62499 
10466566/20833 -16700/20833 125098/249 -100/249 
22605202/62501 1210100/62501 21644798/62499 1213900/62499 
7840600/62501 14881600/62501 7839400/62499 15118400/62499 
3029800/20833 5037800/20833 8910600/62501 15114600/62501 
12501232/20833 -8808520/20833 37503596/62499 -26450560/62499 
8904400/62499 13635400/62499 9095600/62501 13636600/62501 
31258696/62499 -27700520/62499 10419532/20833 -9241840/20833 
-58750/125 25013/125 -58750/125 25003/125 
14661300/20833 -8758506/20833 43879198/62499 -100018/62499 
16489400/62499 34915400/62499 16485600/62501 33834600/62501 
22654400/62499 13690400/62499 22845600/62501 13691600/62501 
34125600/62501 6236600/62501 35124400/62499 6240400/62499 
35135600/62501 8759600/62501 34114400/62499 8763400/62499 
17785600/62501 28671600/62501 18964400/62499 28675400/62499 
62731004/62501 -26375502/62501 62728900/62499 -26350498/62499 
31590600/62501 14976600/62501 10529800/20833 5007800/20833 
2725044/62501 37625502/62501 2724916/62499 37634498/62499 
56383898/62499 -75038/62499 18792966/20833 -25006/20833 
31494400/62499 36225400/62499 31490600/62501 35024600/62501 
5249900/62499 12628798/62499 1333300/20833 4211266/20833 
-26150498/62501 43980804/62501 -2094/5 3020/5 
16519400/62499 32583400/62499 16480600/62501 32584600/62501 
200084/62501 25105202/62501 200064/62501 25110202/62501 
9114400/62499 8863400/62499 8885600/62501 8864600/62501 
3374800/20833 2046800/20833 808/5 0/5 
20155600/62501 13819600/62501 6364800/20833 4607800/20833 
34025600/62501 31236600/62501 35224400/62499 31240400/62499 
5221100/62501 26121302/62501 5246100/62501 26121402/62501 
8048266/20833 401300/20833 23855202/62501 1205100/62501 
33879698/62499 4939900/62499 33870302/62501 4940100/62501 
16649798/62499 -16100/62499 1332/5 0/5 
304/1 -484/1 1520/5 -2418/5 
56486004/62501 -26400482/62501 56491004/62501 -26400462/62501 
7979800/20833 7481800/20833 23935600/62501 21304600/62501 
6796566/20833 831300/20833 20110302/62501 2495100/62501 
43991004/62501 -28950502/62501 43996004/62501 -28950482/62501 
20235600/62501 33819600/62501 19014400/62499 33823400/62499 
31625600/62501 6226600/62501 10874800/20833 2076800/20833 
-51250/125 37513/125 -51250/125 37503/125 
37620302/62501 3675080/62501 37620202/62501 3650080/62501 
3965900/62499 33633598/62499 3940900/62499 33633698/62499 
5246100/62501 32371502/62501 20900/249 128998/249 
-2050/5 1482/5 -410/1 204/1 
100/1 462/1 5234900/62499 28878598/62499 
32694400/62499 23730400/62499 32805600/62501 23731600/62501 
1908/5 0/5 1832/5 0/5 
37500/125 -52952/125 18753796/62499 -26475560/62499 
13924400/62499 18655400/62499 14075600/62501 18656600/62501 
31485600/62501 33774600/62501 30264400/62499 33778400/62499 
13879400/62499 7405400/62499 13875600/62501 6344600/62501 
21394400/62499 11185400/62499 21605600/62501 11186600/62501 
1323300/20833 10877866/20833 3944900/62499 32633698/62499 
24110600/62501 9946600/62501 8379800/20833 3316800/20833 
-11900/25 5002/25 -476/1 204/1 
124/1 -400/1 128/1 -400/1 
2506/25 -11000/25 12523/125 -56750/125 
33939400/62499 22485400/62499 34060600/62501 22486600/62501 
33860402/62501 2465100/62501 32889598/62499 2468900/62499 
37610302/62501 -74940/62501 37605302/62501 -74920/62501 
-456/1 200/1 -56250/125 25003/125 
33905600/62501 13764600/62501 33904400/62499 13735400/62499 
37503796/62499 -27650540/62499 12501232/20833 -9225180/20833 
-456/1 304/1 -2298/5 1520/5 
-28650478/62501 43995804/62501 -28675478/62501 43995904/62501 
35384798/62499 3658900/62499 35134798/62499 3659900/62499 
3946100/62501 26116202/62501 3971100/62501 26116302/62501 
33964400/62499 28735400/62499 34035600/62501 28736600/62501 
11734800/20833 8746800/20833 35200600/62501 25009600/62501 
75000/125 -55402/125 37503596/62499 -27700540/62499 
6600600/62501 12376600/62501 2549800/20833 4126800/20833 
200/1 -424/1 25008/125 -53000/125 
27815600/62501 21211600/62501 27814400/62499 21288400/62499 
25375600/62501 6201600/62501 406/1 100/1 
-416/1 104/1 -430/1 104/1 
24094400/62499 13803400/62499 23905600/62501 13804600/62501 
11475600/62501 31354600/62501 3424800/20833 10452800/20833 
50230904/62501 -26400502/62501 50230804/62501 -26375502/62501 
-446/1 -410/1 -436/1 -400/1 
1481100/62501 23606302/62501 2706100/62501 23611202/62501 
7654400/62499 13630400/62499 7650600/62501 12619600/62501 
13914400/62499 16155400/62499 13910600/62501 15094600/62501 
15046/25 0/25 15044/25 0/25 
11379866/20833 821300/20833 33889598/62499 2464900/62499 
-496/1 500/1 -490/1 500/1 
-53750/125 50013/125 -53750/125 50003/125 
100/1 -482/1 100/1 -494/1 
30110302/62501 2455100/62501 29139698/62499 2458900/62499 
12859400/62499 10098400/62499 12640600/62501 10099600/62501 
200/1 -474/1 200/1 -480/1 
883306/20833 14628066/20833 42/1 802/1 
50243600/62501 -29574502/62501 50248600/62501 -29574482/62501 
25399598/62499 -1100/62499 2032/5 0/5 
404/1 -444/1 2020/5 -2218/5 
-496/1 600/1 -10208168/20833 12500300/20833 
2569800/20833 9126800/20833 7790600/62501 27381600/62501 
-410/1 204/1 -51250/125 25497/125 
6495600/62501 36374600/62501 2164800/20833 12041800/20833 
8994400/62499 36135400/62499 8990600/62501 35114600/62501 
56383898/62499 -75038/62499 56378998/62499 1149962/62499 
1450044/62501 31370302/62501 1475044/62501 31370402/62501 
200064/62501 37610402/62501 200044/62501 37615402/62501 
15355600/62501 11161600/62501 15354400/62499 11338400/62499 
26460600/62501 27544600/62501 8429800/20833 9182800/20833 
33899798/62499 -85100/62499 33899698/62499 -60100/62499 
5196100/62501 26121202/62501 5221100/62501 26121302/62501 
1411100/62501 34856202/62501 470300/20833 11631266/20833 
1481100/62501 29856402/62501 493300/20833 10047866/20833 
24120600/62501 7446600/62501 8039800/20833 2517800/20833 
580/1 -400/1 568/1 -400/1 
-52352/125 62500/125 -2618110/6251 3102704/6251 
43983600/62501 -27099502/62501 43981004/62501 -26450502/62501 
-8958168/20833 12505300/20833 -26225504/62499 37518496/62499 
1104/1 -482/1 111496/101 -46682/101 
14040600/62501 27406600/62501 4679800/20833 9197800/20833 
22774400/62499 31308400/62499 22770600/62501 32441600/62501 
-2350/5 494/5 -5975/13 1279/13 
35120302/62501 4935100/62501 11376566/20833 1646300/20833 
-2298/5 2520/5 -460/1 504/1 
21415600/62501 16314600/62501 21414400/62499 16185400/62499 
7764400/62499 33868400/62499 7760600/62501 34881600/62501 
1313300/20833 11294566/20833 3914900/62499 33883798/62499 
75000/125 -52952/125 600/1 -424/1 
11296566/20833 813300/20833 33860302/62501 2440100/62501 
6470600/62501 30124600/62501 100/1 482/1 
6375600/62501 6374600/62501 100/1 102/1 
10260600/62501 34891600/62501 3829800/20833 11631800/20833 
-26125498/62501 43980704/62501 -26150498/62501 43980804/62501 
-2870600/6251 2490204/6251 -2298/5 1520/5 
19040600/62501 27426600/62501 19039400/62499 27573400/62499 
12133266/20833 -31700/20833 36399698/62499 -70100/62499 
883306/20833 16711366/20833 42/1 902/1 
3975100/62501 18866202/62501 3975084/62501 18870202/62501 
3925064/62501 31375202/62501 3924916/62499 31379798/62499 
-409730/893 444672/893 -2296/5 2020/5 
27770600/62501 32461600/62501 27769400/62499 32538400/62499 
36579400/62499 17503400/62499 36575600/62501 18746600/62501 
27695600/62501 23789600/62501 26554400/62499 23793400/62499 
10165600/62501 16359600/62501 9084400/62499 16363400/62499 
483306/20833 14629666/20833 1424918/62499 43889098/62499 
2741100/62501 27361402/62501 913300/20833 9212866/20833 
5006/25 -10500/25 5004/25 -10500/25 
14144798/62499 1243900/62499 13855202/62501 1245100/62501 
-498/1 804/1 -2494/5 3020/5 
7626566/20833 1661300/20833 22620302/62501 4985100/62501 
7684400/62499 21130400/62499 7815600/62501 21131600/62501 
25003/125 -59250/125 25013/125 -59250/125 
5464800/20833 3721800/20833 16605600/62501 11166600/62501 
1333300/20833 4211266/20833 2749900/62499 12638798/62499 
11434400/62499 21145400/62499 11430600/62501 20104600/62501 
149978/62499 43879198/62499 -8675174/20833 14661300/20833 
26455600/62501 26294600/62501 25294400/62499 26298400/62499 
3979900/62499 30133598/62499 3976100/62501 31116402/62501 
30379598/62499 4978900/62499 30375600/62501 6221600/62501 
11544400/62499 26353400/62499 11455600/62501 26354600/62501 
31365402/62501 2475080/62501 31365302/62501 2450080/62501 
32634698/62499 3694900/62499 32615302/62501 3695100/62501 
7969800/20833 4981800/20833 23905600/62501 13804600/62501 
-50000/125 62548/125 -50000/125 62992/125 
15379798/62499 4988900/62499 15375600/62501 6161600/62501 
-400/1 564/1 -410/1 560/1 
100/1 -400/1 100/1 -410/1 
11614400/62499 8853400/62499 11385600/62501 8854600/62501 
8809800/20833 6651800/20833 26570600/62501 19956600/62501 
493300/20833 7964566/20833 1454900/62499 23893798/62499 
-51250/125 62543/125 -51250/125 62533/125 
11420600/62501 17604600/62501 11419400/62499 17395400/62499 
-28099458/62501 43998600/62501 -28099478/62501 43993600/62501 
-456/1 104/1 -470/1 104/1 
22639400/62499 9940400/62499 22635600/62501 8809600/62501 
20334400/62499 16318400/62499 20165600/62501 16319600/62501 
12548166/20833 -8360/20833 37644398/62499 -80/62499 
26509400/62499 35043400/62499 26505600/62501 36206600/62501 
175064/62501 37610302/62501 200064/62501 37610402/62501 
9219800/20833 4986800/20833 27655600/62501 13789600/62501 
23870302/62501 4980100/62501 23870202/62501 4955100/62501 
20245600/62501 36319600/62501 6334800/20833 12107800/20833 
100/1 -454/1 12523/125 -56750/125 
493300/20833 12131166/20833 1475084/62501 37610502/62501 
36639598/62499 2453900/62499 12129866/20833 818300/20833 
149918/62499 62643898/62499 2/1 1102/1 
15190600/62501 22589600/62501 14059400/62499 22593400/62499 
-27450524/62499 25008796/62499 -10900/25 10004/25 
9110600/62501 9886600/62501 9109400/62499 10113400/62499 
32644798/62499 1169900/62499 32605202/62501 1170100/62501 
22809400/62499 22558400/62499 22690600/62501 22559600/62501 
14115600/62501 8656600/62501 5044800/20833 2886800/20833 
1450100/62501 31356302/62501 1450084/62501 31360302/62501 
7559800/20833 6646800/20833 22675600/62501 18809600/62501 
14095600/62501 13656600/62501 14094400/62499 13843400/62499 
10006/25 -10500/25 8337932/20833 -8816840/20833 
36600600/62501 12496600/62501 12199800/20833 4167800/20833 
1499900/62499 31393498/62499 1496100/62501 32356502/62501 
17785600/62501 28671600/62501 17784400/62499 28828400/62499 
31445600/62501 23774600/62501 31444400/62499 23725400/62499 
6395600/62501 11374600/62501 100/1 182/1 
11385600/62501 8854600/62501 3454800/20833 2952800/20833 
32884798/62499 3668900/62499 10878266/20833 1223300/20833 
56498900/62499 -26325578/62499 56393998/62499 -100078/62499 
62643898/62499 -100078/62499 62638898/62499 1149922/62499 
266/1 100/1 16624400/62499 6333400/62499 
-59952/125 62500/125 -59902/125 62500/125 
913300/20833 5046266/20833 2736100/62501 16111202/62501 
149978/62499 50129098/62499 -26050522/62499 50233900/62499 
-470/1 600/1 -470/1 504/1 
-50000/125 62992/125 -400/1 504/1 
26350302/62501 -29900/62501 8466566/20833 -8700/20833 
174958/62499 50133998/62499 49986/20833 16711366/20833 
3929900/62499 36383698/62499 3904900/62499 36383798/62499 
30260600/62501 34971600/62501 30259400/62499 35028400/62499 
35194400/62499 23740400/62499 35305600/62501 23741600/62501 
7502/25 -10000/25 7501/25 -10250/25 
400/1 -420/1 50000/125 -52902/125 
3991100/62501 14866202/62501 5241100/62501 14871202/62501 
